char,meaning,reading,stroke
街,거리,가,12
假,거짓,가,11
減,덜,감,12
監,볼,감,14
康,편안,강,11
講,강론할,강,17
個,낱,개,10
檢,검사할,검,17
缺,이지러질,결,10
潔,깨끗할,결,15
慶,경사,경,15
經,지날,경,13
境,지경,경,14
警,경계할,경,20
係,맬,계,9
故,연고,고,9
官,벼슬,관,8
究,연구할,구,7
句,글귀,구,5
求,구할,구,7
宮,집,궁,10
權,권세,권,22
極,극진할,극,13
禁,금할,금,13
起,일어날,기,10
器,그릇,기,16
暖,따뜻할,난,13
難,어려울,난,19
努,힘쓸,노,7
怒,성낼,노,9
單,홑,단,12
端,끝,단,14
檀,박달나무,단,17
斷,끊을,단,18
達,통달할,달,13
擔,멜,담,16
黨,무리,당,20
帶,띠,대,11
隊,무리,대,12
導,인도할,도,16
毒,독할,독,8
督,감독할,독,13
銅,구리,동,14
斗,말,두,4
豆,콩,두,7
得,얻을,득,11
燈,등불,등,16
羅,벌일,라,19
兩,두,량,8
麗,고울,려,19
連,이을,련,11
列,벌일,렬,6
錄,기록할,록,16
論,논할,론,15
留,머무를,류,10
律,법칙,률,9
滿,찰,만,14
脈,줄기,맥,10
毛,터럭,모,4
牧,칠,목,8
武,호반,무,8
務,힘쓸,무,11
未,아닐,미,5
味,맛,미,8
密,빽빽할,밀,11
博,넓을,박,12
防,막을,방,7
房,방,방,8
訪,찾을,방,11
拜,절,배,9
背,등,배,9
配,나눌,배,10
伐,칠,벌,6
罰,벌할,벌,14
壁,벽,벽,16
邊,가,변,19
步,걸음,보,7
保,지킬,보,9
報,갚을,보,12
寶,보배,보,20
復,회복할,복,12
府,마을,부,8
婦,며느리,부,11
副,버금,부,11
富,부자,부,12
佛,부처,불,7
非,아닐,비,8
悲,슬플,비,12
飛,날,비,9
備,갖출,비,12
貧,가난할,빈,11
寺,절,사,6
舍,집,사,8
師,스승,사,10
謝,사례할,사,17
殺,죽일,살,11
床,상,상,7
狀,형상,상,8
想,생각,상,13
常,항상,상,11
設,베풀,설,11
城,성,성,10
盛,성할,성,12
誠,정성,성,14
星,별,성,9
聖,성인,성,13
聲,소리,성,17
細,가늘,세,11
稅,세금,세,12
勢,형세,세,13
素,본디,소,10
笑,웃음,소,10
掃,쓸,소,11
俗,풍속,속,9
續,이을,속,21
送,보낼,송,10
守,지킬,수,6
收,거둑,수,6
受,받을,수,8
援,줄,수,11
修,닦을,수,10
純,순수할,순,10
承,이을,승,8
視,볼,시,12
是,옳을,시,9
施,베풀,시,9
詩,시,시,13
試,시험,시,13
息,쉴,식,10
申,알릴,신,5
深,깊을,심,11
眼,눈,안,11
暗,어두울,암,13
壓,누를,압,17
液,액체,액,11
羊,양,양,6
如,같을,여,6
餘,남을,여,16
逆,거스를,역,10
硏,갈,연,11
煙,연기,연,13
演,펼,연,14
榮,영화,영,14
藝,재주,예,19
誤,그르칠,오,14
玉,구슬,옥,5
往,갈,왕,8
謠,노래,요,17
容,얼굴,용,10
員,인원,원,10
圓,둥글,원,13
衛,지킬,위,16
爲,할,위,12
肉,고기,육,6
恩,은혜,은,10
陰,그늘,음,11
應,응할,응,17
義,옳을,의,13
議,의논할,의,20
移,옮길,이,11
益,더할,익,10
認,알,인,14
引,끌,인,4
印,도장,인,6
將,장수,장,11
障,막을,장,14
低,낮을,저,7
敵,대적할,적,15
田,밭,전,5
絶,끊을,절,12
接,접할,접,11
政,정사,정,9
程,길,정,12
精,정할,정,14
制,마를,제,8
製,지을,제,14
除,덜,제,10
祭,제사,제,11
際,즈음,제,14
提,끌,제,12
濟,건널,제,17
早,일찍,조,6
造,지을,조,11
助,도울,조,7
鳥,새,조,11
尊,높을,존,12
宗,마루,종,8
走,달아날,주,7
竹,대,죽,6
準,준할,준,13
衆,무리,중,12
增,더할,증,15
支,지탱할,지,4
至,이를,지,6
指,가리킬,지,9
志,뜻,지,7
職,벼슬,직,18
眞,참,진,10
進,나아갈,진,12
次,버금,차,6
察,살필,찰,14
創,비롯할,창,12
處,곳,처,11
請,청할,청,15
銃,총,총,14
總,다,총,17
蓄,모을,축,14
築,쌓을,축,16
忠,충성,충,8
蟲,벌레,충,18
取,가질,취,8
測,헤아릴,측,12
治,다스릴,치,8
置,둘,치,13
齒,이,치,15
侵,침노할,침,9
快,쾌할,쾌,7
態,모습,태,14
統,거느릴,통,12
退,물러날,퇴,10
波,물결,파,8
破,깨뜨릴,파,10
布,베,포,5
包,쌀,포,5
砲,대포,포,10
暴,사나울,폭,15
票,표,표,11
豊,풍년,풍,13
限,지경,한,9
航,배,항,10
港,항구,항,12
解,풀,해,13
香,향기,향,9
鄕,시골,향,13
虛,빌,허,12
驗,시험할,험,23
賢,어질,현,15
血,피,혈,6
協,화할,협,8
惠,은혜,혜,12
戶,지게,호,4
呼,부를,호,8
好,좋을,호,6
護,도울,호,21
貨,재물,화,11
確,굳을,확,15
回,돌아올,회,6
吸,마실,흡,7
興,일,흥,16
希,바랄,희,7
暇,겨를,가,13
刻,새길,각,8
覺,꺠달을,각,20
干,방패,간,3
看,볼,간,9
簡,대쪽,간,18
甘,달,감,5
敢,감히,감,12
甲,갑옷,갑,5
降,내릴,강,9
更,다시,갱,7
巨,클,거,5
拒,막을,거,8
居,살,거,8
據,근거,거,16
傑,뛰어날,걸,12
儉,검소할,검,15
激,격할,격,16
擊,칠,격,17
犬,개,견,4
堅,굳을,견,11
鏡,거울,경,19
傾,기울,경,13
驚,놀랄,경,23
系,계통,계,7
戒,경계할,계,7
季,계절,계,8
階,섬돌,계,12
鷄,닭,계,21
繼,이을,계,20
孤,외로울,고,8
庫,곳집,고,10
穀,곡식,곡,15
困,곤할,곤,7
骨,뼈,골,10
孔,구멍,공,4
攻,칠,공,7
管,대롱,관,14
鑛,쇳돌,광,23
構,얽을,구,14
君,임금,군,7
群,무리,군,13
屈,굽힐,굴,8
窮,다할,궁,15
券,문서,권,8
卷,책,권,8
勸,권할,권,20
歸,돌아갈,귀,18
均,고를,균,7
劇,심할,극,15
勤,부지런할,근,13
筋,힘줄,근,12
紀,벼리,기,9
奇,기이할,기,8
寄,부칠,기,11
機,틀,기,16
納,들일,납,10
段,층계,단,9
逃,도망갈,도,10
徒,무리,도,10
盜,도적,도,12
卵,알,란,7
亂,어지러울,란,13
覽,볼,람,21
略,간략할,략,11
糧,양식,량,18
慮,생각할,려,15
烈,매울,렬,10
龍,용,룡,16
柳,버들,류,9
輪,바퀴,륜,15
離,떠날,리,19
妹,누이,매,8
勉,힘쓸,면,9
鳴,울,명,14
模,본뜰,모,15
妙,묘할,묘,7
墓,무덤,묘,14
舞,춤출,무,14
拍,칠,박,8
髮,터럭,발,15
妨,방해할,방,7
犯,범할,범,5
範,모범,범,15
辯,말씀,변,21
普,넓을,보,12
伏,엎드릴,복,6
複,겹칠,복,14
否,아닐,부,7
負,질,부,9
粉,가루,분,10
憤,분할,분,15
批,비평할,비,7
祕,숨길,비,10
碑,비석,비,13
私,사사로울,사,7
絲,실,사,12
射,쏠,사,10
辭,말씀,사,19
散,흩을,산,12
象,코끼리,상,12
傷,다칠,상,13
宣,베풀,선,9
舌,혀,설,6
屬,붙일,속,21
損,덜,손,13
松,소나무,송,8
頌,칭송할,송,13
秀,빼어날,수,7
叔,아재비,숙,8
肅,엄숙할,숙,12
崇,높을,숭,11
氏,성,씨,4
額,이마,액,18
樣,모양,양,15
嚴,엄할,엄,20
與,줄,여,14
易,바꿀,역,8
域,지경,역,11
延,늘일,연,7
鉛,납,연,13
燃,불사를,연,16
緣,인연,연,15
迎,맞을,영,8
映,비칠,영,9
營,경영할,영,17
豫,미리,예,16
遇,만날,우,13
郵,우편,우,11
優,뛰어날,우,17
怨,원망할,원,9
源,근원,원,13
授,도울,원,12
危,위태할,위,6
委,맡길,위,8
威,위엄,위,9
圍,에울,위,12
慰,위로할,위,15
乳,젖,유,8
遊,놀,유,13
遺,남길,유,16
儒,선비,유,16
隱,숨을,은,17
依,의지할,의,8
儀,거동,의,15
疑,의심할,의,14
異,다를,이,11
仁,어질,인,4
姉,손위누이,자,8
姿,모양,자,9
資,재물,자,13
殘,남을,잔,12
雜,섞일,잡,18
壯,씩씩할,장,7
裝,꾸밀,장,13
奬,장려할,장,14
帳,장막,장,11
張,베풀,장,11
腸,창자,장,13
底,밑,저,8
賊,도둑,적,13
適,맞을,적,15
積,쌓을,적,16
績,길쌈,적,17
籍,문서,적,20
專,오로지,전,11
轉,구를,전,18
錢,돈,전,16
折,꺾을,절,7
占,차지할,점,5
點,점,점,17
丁,장정,정,2
整,가지런할,정,16
靜,고요할,정,16
帝,임금,제,9
組,짤,조,11
條,가지,조,11
潮,밀물,조,15
存,있을,존,6
從,좇을,종,11
鍾,쇠북,종,17
座,자리,좌,10
朱,붉을,주,6
周,두루,주,8
酒,술,주,10
證,증거,증,19
誌,기록할,지,14
智,지혜,지,12
持,가질,지,9
